Date,Open,High,Low,Close,Adj Close,Volume
2004-01-02,111.73999786376953,112.19000244140625,110.7300033569336,111.2300033569336,73.8338851928711,38072300
2004-01-05,111.69000244140625,112.5199966430664,111.58999633789062,112.44000244140625,74.6371078491211,27959800
2004-01-06,112.16000366210938,112.7300033569336,112.0,112.55000305175781,74.71014404296875,20472800
2004-01-07,112.38999938964844,113.05999755859375,111.88999938964844,112.93000030517578,74.96232604980469,30170400
2004-01-08,113.25,113.41000366210938,112.7699966430664,113.37999725341797,75.26106262207031,36438400
2004-01-09,112.83000183105469,113.5,112.2699966430664,112.38999938964844,74.60387420654297,54084300
2004-01-12,112.55000305175781,113.25,112.36000061035156,113.22000122070312,75.15483093261719,31564100
2004-01-13,113.08999633789062,113.2300033569336,111.76000213623047,112.55999755859375,74.71671295166016,54239700
2004-01-14,112.76000213623047,113.66000366210938,112.66999816894531,113.5,75.3406982421875,30112800
2004-01-15,113.56999969482422,114.05999755859375,112.58000183105469,113.77999877929688,75.52657318115234,38408700
2004-01-16,114.04000091552734,114.30999755859375,113.62999725341797,114.2300033569336,75.82527160644531,31922700
2004-01-20,114.52999877929688,114.6500015258789,113.81999969482422,114.19999694824219,75.80537414550781,29863000
2004-01-21,114.12999725341797,115.30000305175781,113.72000122070312,115.0999984741211,76.40277862548828,30725000
2004-01-22,115.13999938964844,115.37999725341797,114.58000183105469,114.80000305175781,76.20364379882812,29888500
2004-01-23,115.0,115.37000274658203,113.94999694824219,114.43000030517578,75.95805358886719,44245300
2004-01-26,114.38999938964844,115.93000030517578,114.37999725341797,115.87000274658203,76.91389465332031,30460600
2004-01-27,115.75,116.5,114.6500015258789,114.68000030517578,76.12400817871094,35322800
2004-01-28,114.9800033569336,115.27999877929688,112.94000244140625,113.37000274658203,75.25443267822266,52621300
2004-01-29,113.55999755859375,113.8499984741211,112.55999755859375,113.4800033569336,75.3274154663086,60117100
2004-01-30,113.5199966430664,113.72000122070312,113.08999633789062,113.4800033569336,75.3274154663086,30984400
