date,open,high,low,close,volume,return_1d,log_return,volatility_20d_ann,ma_gap_20_60,drawdown_126d,hmm_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,smooth_prob_bear_5,smooth_prob_neutral_5,smooth_prob_bull_5,state_mean_daily_return,state_ann_return,state_ann_vol,state_sharpe,state_count,model_loglik,target_label_plus_1_steps,target_code_plus_1_steps
2012-06-29,155.1300049,155.9499969,154.5200043,155.1900024,10378200,0.0274081384,0.02703926038,0.1681758608,-0.006637936644,-0.1054815982,1,Neutral,1,0.007993152376,0.9920068474,2.556726263e-10,0.007993152376,0.9920068474,2.556726263e-10,0.0004929791854,0.1322771191,0.1577543039,0.8385008576,141,-2037.804941,Neutral,1
2012-07-09,153.6100006,154.5800018,153.4299927,154.0399933,4468500,0.002146812555,0.002144511446,0.1769748157,-0.005386844725,-0.1121102749,1,Neutral,1,0.0001624517799,0.9998375481,1.402309136e-10,0.004077802078,0.9959221977,1.979517699e-10,0.0003731756883,0.09860398961,0.1581178799,0.623610623,156,-2028.553156,Neutral,1
2012-07-16,154.4299927,154.75,153.9799957,154.2100067,5710900,0.0004541801252,0.0004540770166,0.1830718939,-0.007688469219,-0.111130314,1,Neutral,1,0.000856983508,0.9991430165,2.316543934e-12,0.003004195888,0.996995804,1.327400279e-10,0.0002760477925,0.07204071648,0.1577039733,0.4568097745,149,-2007.635473,Neutral,1
2012-07-23,152.5,153.3300018,152.2899933,153.0299988,5256700,-0.004164764738,-0.004173461526,0.1567867438,-0.007216109892,-0.1179319042,1,Neutral,1,0.0004852484608,0.9995147515,1.773819896e-13,0.002374459031,0.9976255409,9.959936644e-11,0.0003076340886,0.08060794016,0.1566536996,0.5145613564,148,-1993.650604,Neutral,1
2012-07-30,156.8399963,157.6600037,154.8099976,157.4299927,7212100,-0.0006982392728,-0.0006984831554,0.1230763653,0.0003086074444,-0.0925702479,1,Neutral,1,0.0005174205388,0.9994825317,4.77544882e-08,0.002003051333,0.997996939,9.630577133e-09,0.0004829673134,0.129423994,0.1552500472,0.8336486613,149,-1994.076355,Neutral,1
2012-08-06,155.9199982,156.7299957,155.7400055,156.3000031,4610800,0.004821600677,0.00481001399,0.1077980465,0.001503235594,-0.0990835316,1,Neutral,1,0.0004984495897,0.9995015416,8.775521416e-09,0.0005041107754,0.9994958779,1.133454689e-08,0.0003126038668,0.08196212419,0.15579008,0.526106182,152,-1999.214092,Neutral,1
2012-08-13,157.0500031,157.4499969,155.8999939,155.9900055,4573300,-0.007570856585,-0.007599660995,0.09353936248,0.004128985174,-0.100870364,1,Neutral,1,0.0003474785441,0.9996525185,2.934726096e-09,0.0005411161283,0.999458872,1.189344593e-08,0.000249697556,0.06494567036,0.1539359731,0.421900541,156,-1997.254648,Neutral,1
2012-08-20,156.5200043,157.3999939,156.4700012,157.2599945,7846200,0.003445592662,0.003439670208,0.09371141591,0.007019460946,-0.09355012089,1,Neutral,1,1.399478904e-06,0.9999980569,5.436532611e-07,0.0003699993225,0.9996298801,1.206236348e-07,0.000193468361,0.04996205663,0.1603174239,0.3116445824,179,-1989.499058,Bull,2
2012-08-27,161.7700043,162.2899933,161.3399963,161.3600006,5380200,-0.00376613327,-0.003773243006,0.09560477369,0.01029193336,-0.03151071353,2,Bull,2,5.893000515e-06,0.2740750154,0.7259190916,0.0002741282304,0.8545419328,0.1451839389,0.001736198557,0.5488644296,0.1524146995,3.601125293,233,-1997.757064,Bull,2
2012-09-04,164.1100006,164.7700043,163.6600037,164.4799957,12034800,0.001583208531,0.001581956577,0.1090180469,0.01772495508,-0.01141969648,2,Bull,2,9.563186195e-08,4.693149719e-07,0.9999994351,0.000170663249,0.6546455203,0.3451838164,0.001788350546,0.5693544205,0.153778331,3.702435945,233,-1997.310598,Bull,2
