date,close,monthly_return,raw_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,state_mean_monthly_return,state_ann_return,state_ann_vol,state_sharpe,state_count,paper_phase,paper_selected,model_loglik
2006-01-31,87.77578735351562,0.02401419830362661,2,Neutral,1,2.6815059532867675e-38,0.9999999999507714,4.92287210272763e-11,0.01131258978288369,0.1445241618712878,0.07776875310018795,1.8583834266328043,19,Increasing,0,62.977313753569845
2006-02-28,88.27835845947266,0.0057256234447995435,1,Neutral,1,1.5281364385877948e-12,0.4533142177537721,0.5466857822446999,0.00922141883698644,0.11644545068015288,0.07125688222102004,1.634164266673496,16,Increasing,0,61.24955173009629
2006-03-31,89.73530578613281,0.0165040147107971,1,Neutral,1,3.7282461918366125e-32,0.9417926497116124,0.05820735028838772,0.01158692292060181,0.14825534975586097,0.07297905731860158,2.0314780048285477,18,Increasing,0,63.54589829957268
2006-04-28,90.86882781982422,0.01263184009639362,2,Bull,2,0.13311588045696085,0.7922860930762222,0.0745980264668169,0.008865501287646474,0.1117298232255508,0.0749523106336992,1.490678836728432,24,Increasing,1,58.52712198806617
2006-05-31,88.13178253173828,-0.03012083850705083,2,Bull,2,0.3692655381604173,0.3543424601272736,0.2763920017123091,0.006897004440522006,0.08597689595114044,0.07954093659189637,1.0809137990449533,24,Increasing,1,57.03395437330485
2006-06-30,88.36164093017578,0.002608121517963413,2,Bull,2,3.389277452810918e-27,0.06558486723145009,0.9344151327685499,0.0025219950694972404,0.030687280273316908,0.00042193170420046846,72.73044421126683,2,Increasing,1,64.20410585042008
2006-07-31,88.75736999511719,0.004478516478141348,1,Bear,0,0.9999999898885406,1.0111459469002998e-08,1.6955539438051784e-33,0.0038160434200630953,0.04676595640687453,0.07048148749034897,0.6635211325992261,19,Increasing,0,64.0855982016435
2006-08-31,90.69424438476562,0.021822124627566053,2,Bear,0,0.9999999999293054,3.111806074742348e-11,3.95765329881465e-11,0.004716347480438243,0.058087596387125684,0.07000511919946076,0.8297621238472676,20,Increasing,0,64.607322842526
2006-09-29,93.14313507080078,0.027001610770865048,2,Neutral,1,0.001159655656189861,0.998840311654386,3.2689424159772224e-08,0.007879045531370704,0.0987553237022325,0.07202499248712944,1.3711257758184376,20,Increasing,0,59.20158449859688
2006-10-31,96.07870483398438,0.031516759243203296,0,Neutral,1,0.309768365352065,0.689851053848851,0.00038058079908389,0.008556422041209622,0.10764958592901319,0.0744971067653879,1.4450170027143694,23,Increasing,0,61.34103335401564
2006-11-30,97.9892807006836,0.01988552895254503,1,Neutral,1,1.860821747788838e-40,0.9999999985396582,1.4603418484921198e-09,0.011847771456004061,0.15181347264488743,0.06857773773278682,2.213742792689206,19,Increasing,0,66.85659722036893
2006-12-29,99.29949951171875,0.013371042237133368,1,Neutral,1,1.5114915381226944e-32,0.9999999996281327,3.718673231336365e-10,0.010855477895210727,0.1383316913837478,0.06644674703247186,2.0818429428327994,19,Increasing,0,66.89676585279709
2007-01-31,100.79297637939453,0.01504012482459216,1,Bull,2,0.005130815188932406,0.008262328158107804,0.9866068566529599,0.02143953177598416,0.28988782346350406,0.02405501050532857,12.051037076009145,6,Increasing,1,63.28362776111444
2007-02-28,98.81564331054688,-0.019617766434486317,0,Bear,0,0.9768387444232273,0.023161184714795596,7.086197716528628e-08,-0.0188821398859171,-0.20447436417155063,0.0023358526672595257,-87.53735500426254,3,Decreasing,0,66.50212081937958
2007-03-30,99.96084594726562,0.011589284837419278,1,Neutral,1,1.4785068636753986e-24,0.9998569825956117,0.0001430174043883075,0.009648209322450108,0.12212426146997934,0.05760581980184165,2.119998671836887,20,Increasing,0,66.6943983149206
