date,open,high,low,close,volume,return_1d,log_return,volatility_20d_ann,ma_gap_20_60,drawdown_126d,hmm_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,smooth_prob_bear_3,smooth_prob_neutral_3,smooth_prob_bull_3,state_mean_daily_return,state_ann_return,state_ann_vol,state_sharpe,state_count,model_loglik,target_label_plus_1_steps,target_code_plus_1_steps
2012-06-29,106.3194438,107.160883,106.0442157,107.0271988,212250900,0.02492684166,0.02462123605,0.1858730975,-0.0137757883,-0.03549665882,1,Bear,0,0.9991459082,0.0008540908798,9.677777699e-10,0.9991459082,0.0008540908798,9.677777699e-10,6.04227893e-05,0.01534305733,0.150859613,0.1017042071,157,-1621.642198,Neutral,1
2012-07-30,108.9302328,109.5750634,108.7336363,109.0560455,106782000,0,0,0.1411531525,0.0170058582,-0.01721318058,1,Neutral,1,6.4293573e-06,0.9489570895,0.05103648116,0.4995761688,0.4749055902,0.02551824106,0.0002842460818,0.07425780868,0.1513690602,0.4905745506,178,-1606.612876,Bull,2
2012-08-27,111.5803624,111.7297777,111.1478475,111.3051224,68785900,0.0002119170755,0.0002118946242,0.09406008746,0.03019437243,-0.00457137539,2,Bull,2,1.435513382e-14,3.523009579e-06,0.999996477,0.3330507792,0.3166049011,0.3503443197,0.001061204071,0.3065935747,0.1000956645,3.063005538,202,-1536.652363,Bull,2
2012-09-25,115.3937284,115.6150911,113.8916105,113.9232407,133165200,-0.0106413316,-0.01069835547,0.1091937929,0.02831563017,-0.01610087753,2,Bull,2,7.01550646e-09,0.1371659673,0.8628340257,2.145457607e-06,0.3620421933,0.6379556613,0.001444368896,0.4390468171,0.090821933,4.834149667,146,-1423.391129,Bear,0
2012-10-23,112.1523024,112.3104169,111.3380015,111.8044434,192056300,-0.01387598567,-0.01397315711,0.1172889388,0.01285417539,-0.03439989004,1,Bear,0,0.9999783388,2.16612091e-05,2.8785402e-11,0.3333261153,0.04573038383,0.6209435009,-2.412572529e-05,-0.006061238897,0.1391810582,-0.04354930892,216,-1421.02023,Bear,0
2012-11-23,110.7845934,111.7886269,110.7134317,111.7491074,65409200,0.01362533303,0.01353334284,0.1525862832,-0.02009149577,-0.0348777999,1,Bear,0,0.9999929682,7.031761972e-06,1.909140957e-12,0.6666571047,0.04573155341,0.2876113419,-9.811713301e-05,-0.02442234574,0.1558671564,-0.1566869269,199,-1445.666678,Bear,0
2012-12-21,113.1945518,114.7232381,113.0114311,113.6881866,245883800,-0.009077102706,-0.009118550611,0.09502808805,0.002763703377,-0.01813092371,1,Bear,0,0.9908730961,1.01003017e-06,0.009125893892,0.9969481344,9.901000415e-06,0.003041964641,-3.37740568e-05,-0.008474945759,0.1485551819,-0.05704914261,215,-1445.694778,Bull,2
2013-01-23,118.7360535,119.0306404,118.5210783,118.9271317,104596100,0.00160933282,0.001608039231,0.1239546995,0.02568320965,0,2,Bull,2,0.000151193036,1.290679992e-11,0.999848807,0.6636724191,2.680601683e-06,0.3363249003,0.001019213417,0.2928405586,0.1009593554,2.900578728,181,-1494.197084,Bull,2
2013-02-21,120.1930881,120.5593294,119.3809693,119.7631378,183257000,-0.006078665545,-0.006097215845,0.09565461299,0.03327489203,-0.01846616897,2,Bull,2,0.0001063310185,9.234417661e-12,0.999893669,0.3303768734,3.366841036e-07,0.6696227899,0.0007931757041,0.2212565374,0.1000394526,2.211692804,182,-1501.067133,Bull,2
2013-03-21,123.7665586,124.4703268,123.2387445,123.4466705,128605000,-0.008542560072,-0.008579256877,0.1137849216,0.02501592868,-0.0107417449,2,Bull,2,7.251275255e-12,0.0002872603195,0.9997127397,8.584135391e-05,9.575344721e-05,0.9998184052,0.001098991989,0.319095113,0.09429584579,3.383978481,183,-1441.091699,Bear,0
2013-04-19,123.5586804,124.398402,123.2547781,124.3424149,149687600,0.008693070498,0.00865550332,0.147939453,0.0188661327,-0.02330597363,1,Bear,0,0.9995280651,2.02493835e-06,0.0004699099533,0.3332114654,9.642842235e-05,0.6666921062,-0.0001467870024,-0.03631454067,0.1559299929,-0.2328900296,203,-1390.94391,Bull,2
2013-05-17,132.7155999,133.5873054,132.5396578,133.5073395,129801000,0.009676676342,0.00963015717,0.08368964453,0.02749288468,0,2,Bull,2,9.453225922e-06,1.718539519e-14,0.9999905468,0.3331791728,9.642841928e-05,0.6667243988,0.001536128674,0.4727102721,0.08968683102,5.270676494,194,-1365.377968,Neutral,1
2013-06-17,131.3880894,132.1318472,130.5323817,131.5080566,136295600,0.007722215389,0.007692551698,0.1339216647,0.02314573829,-0.01633036553,1,Neutral,1,1.027232554e-06,0.9227785519,0.07722042086,0.3331795152,0.3075935256,0.3592269592,0.0001435810591,0.03684497765,0.1558523722,0.236409476,197,-1346.524257,Neutral,1
2013-07-16,135.2750405,135.3554419,134.3183332,134.6801147,88702100,-0.003746449609,-0.003753485129,0.1507981937,0.002524508913,-0.003746449609,1,Neutral,1,4.872649578e-06,0.9999947638,3.635005255e-07,5.117702684e-06,0.6409244386,0.3590704437,0.0004651745996,0.1243712596,0.1436472878,0.8658100097,200,-1348.722647,Bull,2
