date,open,high,low,close,volume,return_1d,log_return,volatility_20d_ann,ma_gap_20_60,drawdown_126d,hmm_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,smooth_prob_bear_5,smooth_prob_neutral_5,smooth_prob_bull_5,state_mean_daily_return,state_ann_return,state_ann_vol,state_sharpe,state_count,model_loglik,target_label_plus_1_steps,target_code_plus_1_steps
2012-06-29,56.28427002,56.95897293,56.1155926,56.95897293,44761300,0.03151143861,0.03102514277,0.2193882874,-0.02017110002,-0.05776588815,0,Neutral,1,0.0001576482921,0.9998423517,4.976421583e-22,0.0001576482921,0.9998423517,4.976421583e-22,0.0005843662605,0.1586555191,0.2711377194,0.5851473541,197,-1872.977877,Bear,0
2012-07-09,56.86132362,57.04775336,56.53284829,56.81693268,35628300,-0.001871580669,-0.001873334265,0.2107553831,-0.00651993752,-0.06011556484,0,Bear,0,0.2853008255,0.7146991745,2.408451461e-12,0.1427292369,0.8572707631,1.204225731e-12,0.0002891104853,0.07557547324,0.2748622695,0.274957612,186,-1870.369858,Neutral,1
2012-07-16,56.142239,56.39081202,55.88478643,56.1067276,27621400,-0.002840013093,-0.002844053582,0.2051607644,0.0005926209887,-0.07186401143,0,Neutral,1,4.046271323e-05,0.9999595373,3.742423232e-235,0.09516631216,0.9048336878,8.028171537e-13,-8.7737051e-06,-0.002208531283,0.2569760349,-0.008594308353,202,-1812.062774,Neutral,1
2012-07-23,55.92028883,56.53284514,55.49415888,56.33753586,48657800,-0.01214208199,-0.01221639926,0.1957540169,0.00453559835,-0.06804590512,1,Neutral,1,0.003463848705,0.9965361513,4.815346272e-13,0.0722406963,0.9277593037,7.224965221e-13,0.0002388777348,0.06204594987,0.1662429503,0.3732245474,162,-1876.110506,Neutral,1
2012-07-30,57.73133639,57.97990942,57.3495973,57.54490662,37821300,-0.0007706988957,-0.0007709960368,0.1697039037,0.01212688661,-0.04807317992,1,Neutral,1,0.0004689130661,0.9995306161,4.708660103e-07,0.05788633965,0.9421135662,9.417378007e-08,0.0003476941832,0.09157208193,0.1679558823,0.5452150928,166,-1870.675376,Neutral,1
2012-08-06,58.53917463,58.93866581,58.41488818,58.68121338,23523600,0.007621553311,0.007592656009,0.1752622759,0.0136420964,-0.02927601876,1,Neutral,1,0.000255116115,0.9995570024,0.0001878815058,0.05790583322,0.9420564963,3.767047494e-05,0.0003418396013,0.08996281342,0.1677683913,0.5362321991,166,-1867.759637,Neutral,1
2012-08-13,59.33818032,59.50685775,59.03634362,59.49797821,19890300,0.002393154,0.002390294967,0.1556487541,0.02303743644,-0.0157648256,1,Neutral,1,0.0001268894405,0.8464914219,0.1533816886,0.0008710460079,0.9684149458,0.0307140082,0.0004814157418,0.12898248,0.1663185789,0.775514563,167,-1862.537672,Bull,2
2012-08-20,60.60768631,60.7497319,60.36799285,60.74085236,26924000,0.001463749633,0.001462679396,0.1276962259,0.02937865079,0,2,Bull,2,4.582414085e-10,4.260961691e-05,0.9999573899,0.0008629535569,0.7684315603,0.2307054862,0.001682331516,0.5279814369,0.1238522512,4.262994268,194,-1849.784271,Bull,2
2012-08-27,60.88288518,60.96278072,60.58992129,60.72308731,20671400,0.001610876313,0.001609580243,0.09494148698,0.03804085115,-0.0004386136218,2,Bull,2,2.672890191e-13,3.564934929e-07,0.9999996435,0.000170183816,0.5691244013,0.4307054149,0.001638591953,0.5112319394,0.123084333,4.153509441,199,-1834.185639,Bull,2
2012-09-04,60.39463134,60.67871577,59.85309433,60.44789505,32017200,-0.001026771586,-0.001027299077,0.08113709897,0.04118408131,-0.00496854729,2,Bull,2,4.556539668e-14,5.622897767e-08,0.9999999438,7.640120283e-05,0.3692182893,0.6307053095,0.001568220553,0.4846685955,0.1206541123,4.017008505,201,-1821.536033,Bull,2
2012-09-11,60.85626716,61.09596063,60.65207832,60.74973297,29810100,-0.001604749612,-0.001606038602,0.1201817869,0.04018225384,-0.01582048569,2,Bull,2,8.06260798e-11,2.054612427e-05,0.9999794538,2.537799594e-05,0.1693109981,0.8306636239,0.001554336227,0.4794830395,0.1224846416,3.914638058,206,-1807.635307,Bull,2
2012-09-18,62.17015905,62.4098593,62.1612795,62.38322067,27169800,0.0008543751259,0.0008540103552,0.1249083171,0.03957652406,0,2,Bull,2,8.931211461e-11,8.022860987e-05,0.9999197713,1.256984915e-10,2.875941471e-05,0.9999712405,0.001855732264,0.5962298907,0.1214052819,4.911070438,183,-1823.5206,Bull,2
