date,open,high,low,close,volume,return_1d,log_return,volatility_20d_ann,ma_gap_20_60,drawdown_126d,hmm_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,smooth_prob_bear_5,smooth_prob_neutral_5,smooth_prob_bull_5,state_mean_daily_return,state_ann_return,state_ann_vol,state_sharpe,state_count,model_loglik,target_label_plus_1_steps,target_code_plus_1_steps
2006-06-30,88.54214231,88.62545186,88.13948742,88.36164093,54227800,7.831908421e-05,7.831601743e-05,0.1537536746,-0.02182843455,-0.03602326847,0,Bull,2,4.571955333e-10,1.342863604e-29,0.9999999995,4.571955333e-10,1.342863604e-29,0.9999999995,0.0009515244472,0.2709747944,0.1385836175,1.955316215,106,-1916.60009,Bull,2
2006-07-10,88.12557856,88.46574986,87.75763742,88.06309509,60964100,0.00189527246,0.001893478698,0.1451441474,-0.01758355045,-0.03928023878,0,Bull,2,2.873265123e-07,7.242489366e-26,0.9999997127,1.438918539e-07,3.621916115e-26,0.9999998561,0.0008455525221,0.2374827,0.1407298544,1.687507608,93,-1897.806339,Neutral,1
2006-07-17,85.75129677,86.15395149,85.49443503,85.62633514,81159000,-0.001457703251,-0.001458766734,0.1265477879,-0.01230415902,-0.06586394485,0,Neutral,1,3.105787367e-05,0.9999689421,6.110036199e-27,1.044855246e-05,0.3333229807,0.6666665707,0.0005160788437,0.1388874543,0.1413565557,0.9825328131,98,-1876.286632,Neutral,1
2006-07-24,86.39003468,87.69518596,86.39003468,87.61882019,92884000,0.01823335528,0.01806912101,0.1499234423,-0.00765729708,-0.04412703275,0,Neutral,1,1.153504085e-07,0.9999998846,4.042742673e-27,7.865251946e-06,0.4999922067,0.4999999281,0.0007616557857,0.2115944967,0.1386333198,1.526288896,122,-1859.559317,Neutral,1
2006-07-31,88.6254698,88.83373578,88.47967673,88.75737,49593100,-0.001015505479,-0.001016021454,0.1302515103,-0.002360649124,-0.0317060828,0,Neutral,1,0.02399522875,0.9760047712,1.311210517e-11,0.004805337951,0.5951947196,0.3999999424,0.0007272637546,0.2011392317,0.1386190827,1.451021228,122,-1854.892645,Bear,0
2006-08-07,88.79206085,88.91702252,88.44494568,88.79206085,45377300,-0.002339901362,-0.002342643209,0.1291611233,0.001658005513,-0.03132762469,1,Bear,0,0.9999216255,3.669782782e-09,7.837084062e-05,0.204789663,0.5951947203,0.2000156167,0.0001273846814,0.03262173258,0.1062286651,0.3070897347,209,-1867.34036,Bear,0
2006-08-14,88.6045963,88.97254275,88.11169351,88.24359894,57839000,0.0007873037387,0.0007869939776,0.1055184054,0.0065447016,-0.03731104145,1,Bear,0,0.9999992187,7.553687082e-07,2.593859191e-08,0.4047894492,0.5951948714,1.567935846e-05,9.545475294e-05,0.02434624335,0.1052313456,0.2313592324,214,-1892.078633,Neutral,1
2006-08-21,90.37490538,90.44433265,90.11110504,90.34020233,42133600,-0.004284803952,-0.004294010031,0.07802337007,0.01357186497,-0.01443825565,2,Neutral,1,0.2355997437,0.7644002563,2.280507204e-13,0.4519031864,0.5480811343,1.567935851e-05,0.0005019868831,0.1348502394,0.08277801918,1.629058544,192,-1911.460604,Bull,2
2006-08-28,90.00695549,90.81921428,90.000017,90.54845428,52681500,0.004776434844,0.004765063873,0.07307239215,0.0172267787,-0.01216634178,2,Bull,2,0.0001084309736,6.400136885e-23,0.999891569,0.4519248495,0.3480811573,0.1999939932,0.0005564843036,0.1505430456,0.08129162774,1.851888685,195,-1915.52782,Bull,2
2006-09-05,91.29824523,91.53429164,91.08303548,91.40932465,52348300,0.001902252423,0.001900445432,0.06674333623,0.01956266314,-0.002774721296,2,Bull,2,1.210965782e-05,1.870124229e-28,0.9999878903,0.4471282257,0.1528802031,0.3999915712,0.0005353782432,0.144439866,0.08118733524,1.779093569,202,-1907.657745,Bull,2
