date,close,monthly_return,raw_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,state_mean_monthly_return,state_ann_return,state_ann_vol,state_sharpe,state_count,paper_phase,paper_selected,model_loglik
2006-01-31,1.8928325176239014,0.0426921003328713,2,Bull,2,1.233718086882763e-13,1.9676890627332247e-13,0.9999999999996798,0.024642713856733636,0.3392741120164753,0.04930820693983637,6.880682407097912,11,Increasing,1,62.56898544583911
2006-02-28,1.9840468168258667,0.048189313292476665,2,Bull,2,3.599400033755664e-24,8.432664022497314e-14,0.9999999999999156,0.02660493047637889,0.3703772765577731,0.05258055163364108,7.043997543776346,12,Increasing,1,62.172137269638775
2006-03-31,1.8787600994110107,-0.05306664969897057,1,Bear,0,0.9999795872988854,1.0491941689450016e-19,2.0412701114690478e-05,-0.03441694366168439,-0.3431357347889694,0.04159831994170601,-8.248788298898228,8,Decreasing,0,57.57327973475948
2006-04-28,1.8908073902130127,0.006412362496829083,2,Bull,2,0.014872378300151977,5.861534071002144e-08,0.9851275630845073,0.02756845956475651,0.38589135436142685,0.05800222303217261,6.653044214311942,7,Increasing,1,56.64543361015204
2006-05-31,1.8676666021347046,-0.012238575011969455,0,Bear,0,0.999264692426942,5.319048427273795e-06,0.0007299885246307237,-0.019562865609350426,-0.2110726297121175,0.06786652792943582,-3.1101138683797136,12,Decreasing,0,56.235410521232204
2006-06-30,1.8458552360534668,-0.0116784045162599,1,Neutral,1,0.15930548418023022,0.8402450750153546,0.00044944080441516534,-0.008099739979281345,-0.09298170033454767,0.0689838029891396,-1.3478772741651566,8,Decreasing,0,58.29182386008248
2006-07-31,1.903182029724121,0.031057036625050882,2,Bull,2,1.0143961852444742e-05,0.09607924810521062,0.9039106079329369,0.0310188409400179,0.4427770330549803,0.043020923554408036,10.292132210853298,10,Increasing,1,57.125712180225776
2006-08-31,1.9578512907028198,0.028725187672470565,0,Neutral,1,0.20457054283625908,0.7954294571627952,9.45635410516232e-13,0.029023288724817704,0.4096212732481397,0.006589748738619736,62.16037811085608,3,Increasing,0,58.440134002712085
2006-09-29,2.0318756103515625,0.03780895924029548,2,Bull,2,3.234947844118481e-08,0.032730731393285806,0.9672692362572357,0.03172120061782495,0.45461565843672647,0.03655343945768648,12.437014551338741,10,Increasing,1,58.37511406846727
2006-10-31,2.0603694915771484,0.014023437793347915,1,Bull,2,0.0003960658408169913,0.49196412066415696,0.507639813495026,0.03162560069231268,0.4529990554219949,0.037147421987925616,12.194629699181752,10,Increasing,1,58.58050512681569
2006-11-30,2.0763556957244873,0.0077589016012376,2,Bull,2,0.13416776251513954,6.500077414738851e-09,0.865832230984783,0.027812761580806266,0.38985043807178954,0.04810181953174734,8.104692127383812,11,Increasing,1,58.45891531525962
2006-12-29,2.1389617919921875,0.03015191298707398,1,Bull,2,0.0017355576703402711,3.988490717992487e-28,0.9982644423296597,0.02800769086466191,0.39301683574996216,0.04592289817525554,8.55818886364907,12,Increasing,1,58.69168324368002
2007-01-31,2.228290557861328,0.041762674865707394,2,Bull,2,2.3034155593670775e-10,0.00843566712891533,0.9915643326407432,0.030720154541684513,0.437769342963624,0.04282111239543974,10.223212767593692,12,Increasing,1,58.91355698910955
