date,close,monthly_return,raw_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,state_mean_monthly_return,state_ann_return,state_ann_vol,state_sharpe,state_count,paper_phase,paper_selected,model_loglik
2013-04-30,38.20199966430664,-0.04393182627716419,1,Neutral,1,1.024929247902999e-09,0.9999999989750707,0.0,-0.0008487665625512348,-0.010137786305527308,0.2265804250670173,-0.04474255135909813,18,Decreasing,0,35.365270656223366
2013-05-31,38.2599983215332,0.0015182099821007267,1,Neutral,1,5.146584512641165e-10,0.9999999994853416,0.0,-0.0007241888496748158,-0.00865573594987179,0.22020462779797653,-0.03930769319622504,19,Decreasing,0,35.387461540819345
2013-06-28,39.5,0.03240987278791674,1,Neutral,1,2.1650380296618878e-09,0.9999999978349621,0.0,0.005441707252628153,0.06729077960394436,0.1720077985122708,0.3912077253819624,21,Increasing,0,35.03278992395918
2013-07-31,42.23699951171875,0.06929112687895578,1,Neutral,1,9.559917345440748e-27,1.0,8.598038302421935e-214,0.004187686263002429,0.05142596810166067,0.21664967681454542,0.23736923524553366,21,Increasing,0,37.50007636390273
2013-08-30,43.91999816894531,0.03984654868202964,2,Neutral,1,1.231571957803179e-10,0.9999999998768428,0.0,0.014359407270283482,0.18659451086347834,0.16552108474763605,1.1273156598023277,21,Increasing,0,38.359908246716294
2013-09-30,42.65999984741211,-0.0286884875697494,1,Neutral,1,0.0,1.0,0.0,0.012402684777554714,0.15941645087706258,0.16463108129757836,0.9683253588604566,22,Increasing,0,41.973247884796436
2013-10-31,41.141998291015625,-0.0355837215617939,1,Neutral,1,0.0,1.0,0.0,0.006914331022115073,0.08620116574022108,0.1581632292890555,0.5450139462104798,22,Increasing,0,42.85494766016701
2013-11-29,39.759300231933594,-0.03360794605312056,1,Bull,2,1.8461989490019019e-16,0.0,0.9999999999999998,0.007040413644207097,0.08783441826370963,0.16336493511389366,0.5376577183008938,21,Increasing,1,45.04362997296713
2013-12-31,42.047298431396484,0.05754623914696655,1,Bull,2,0.0,7.796110877399654e-128,1.0,0.009336132985241618,0.11796922553655587,0.1637333393933151,0.7204960576365812,22,Increasing,1,42.093151587587826
2014-01-31,41.2400016784668,-0.01919972942487269,2,Neutral,1,0.0,0.9999999953931074,4.606892672798959e-09,0.00583986320658782,0.07237361956712274,0.1623408324324794,0.4458127907975603,20,Increasing,0,41.29701673759268
2014-02-28,43.38130187988281,0.05192289316840837,2,Bull,2,0.0,9.84981774328846e-12,0.9999999999901501,0.008034293204769751,0.10078799373507996,0.162019537036096,0.6220730880907628,21,Increasing,1,43.62561002001659
2014-03-31,43.387298583984375,0.00013823246056943184,2,Bull,2,0.0,1.3651419702742957e-07,0.9999998634858029,0.0076753813527606456,0.0960939500316158,0.15822238313957673,0.6073347406659019,22,Increasing,1,46.86667563212986
2014-04-30,43.09270095825195,-0.006789950869196759,1,Bull,2,0.0,9.280807258874834e-07,0.9999990719192741,0.008118867374686901,0.10189677985906775,0.15753145140831906,0.6468345143024988,22,Increasing,1,46.96289215598933
2014-05-30,44.67300033569336,0.036672089293553256,1,Neutral,1,0.009533485741269158,0.6445760512041389,0.34589046305459203,0.02732824748003284,0.3820086331077368,0.026463138604660298,14.43549984053906,5,Increasing,0,48.2257243198401
2014-06-30,46.365501403808594,0.03788644271477204,2,Bull,2,1.2283579417524625e-108,0.0576791561075703,0.9423208438924298,0.038135026896784975,0.566917509988184,0.005548668677005402,102.17180786763926,3,Increasing,1,48.32461383376936
2014-07-31,43.499698638916016,-0.06180894583525787,0,Bear,0,0.99999999999996,0.0,4.0004948305563806e-14,-0.02940076719909772,-0.30099654178915847,0.09229580667124614,-3.261215786989064,13,Decreasing,0,49.74359151819587
2014-08-29,42.62289810180664,-0.020156473827268484,1,Bear,0,0.8420051517102008,0.15799484828979637,2.6057735805451844e-15,-0.0376465478770122,-0.36902042319878137,0.07128124582153426,-5.176963715290443,11,Decreasing,0,50.08816166119003
2014-09-30,40.79999923706055,-0.04276806472408379,1,Neutral,1,3.1664403207588244e-13,0.9999999673414126,3.265827073140276e-08,-0.02290697578645796,-0.24276452310063246,0.05835389127635776,-4.160211389347212,10,Decreasing,0,52.716780832311805
2014-10-31,36.41999816894531,-0.10735296936321204,0,Bear,0,0.9810129436623183,0.018987056337681794,0.0,-0.047138086990640864,-0.4397787005931372,0.10242193607751406,-4.293794058533591,7,Decreasing,0,45.812117455039854
2014-11-28,31.0,-0.14881928724441418,0,Bear,0,0.9999999995869573,4.130426708840821e-10,6.058996218780347e-39,-0.1280861283038131,-0.8069441147871145,0.10157132032099132,-7.944605940308395,2,Decreasing,0,45.102621912580545
2014-12-31,24.950000762939453,-0.1951612657116305,0,Bear,0,1.0,4.851952412947817e-22,5.961295481230903e-103,-0.15044450743975224,-0.8586483037491499,0.15216656265088283,-5.642818558760211,3,Decreasing,0,45.95852038085734
2015-01-30,22.854000091552734,-0.08400804037249177,0,Bear,0,0.9999999996176272,3.82372858060528e-10,1.8387223136506008e-35,-0.13383539067293712,-0.821677879982797,0.16934536996464036,-4.852083527021524,4,Decreasing,0,44.69906973121231
2015-02-27,24.344999313354492,0.06524018621811667,2,Bull,2,0.0001381529999909171,2.1076167370591578e-13,0.9998618469997983,0.048497003421217225,0.7652504187991487,0.04583321760687933,16.696414931259127,9,Increasing,1,44.22756950212845
2015-03-31,22.25480079650879,-0.08585740709793821,0,Neutral,1,5.868835069206674e-10,0.9999999994131166,6.63040864776685e-32,-0.09265979726192834,-0.6886550326695844,0.3056659307729995,-2.252966272453206,6,Decreasing,0,41.1452228748175
2015-04-30,26.076499938964844,0.17172470683519125,2,Bull,2,5.0853848306218626e-14,5.026749379835455e-12,0.9999999999949224,0.050369161985123236,0.8034477015996719,0.44837034080146687,1.791928743911786,3,Increasing,1,35.21079728315503
2015-05-29,25.571300506591797,-0.01937374392865321,2,Bull,2,1.1932506715475818e-09,0.000170437605945303,0.999829561200804,0.032933435506679126,0.47525816305802504,0.3855077091094842,1.2328110484634998,4,Increasing,1,34.21066059955976
2015-06-30,25.191999435424805,-0.014833077068927891,1,Neutral,1,0.030718622106536274,0.9692444973892806,3.688050418318919e-05,-0.0036748559622890795,-0.04321779843648266,0.1278875474469425,-0.3379359390280957,16,Decreasing,0,34.83202555929396
2015-07-31,20.040000915527344,-0.20450931388370697,0,Neutral,1,1.768123373113597e-28,1.0,8.74721244578251e-199,-0.06229502116176668,-0.537837543059391,0.4058685943936285,-1.3251519099745213,10,Decreasing,0,37.642071248540944
2015-08-31,20.61989974975586,0.028937066254283383,2,Neutral,1,1.9412150169249252e-09,0.9999979409568988,2.0571018862791008e-06,-0.017834952880515842,-0.19422517416943152,0.3903549880666079,-0.4975603748050225,8,Decreasing,0,32.02661169394793
2015-09-30,18.65999984741211,-0.09504895397791424,2,Neutral,1,6.140426833309503e-06,0.9999938586291379,9.440288017041386e-10,-0.02641428633578233,-0.274745704825909,0.37587128857346913,-0.7309568811936702,9,Decreasing,0,31.071345274559683
2015-10-30,19.191600799560547,0.028488797239843766,1,Neutral,1,3.018808216668999e-09,0.9999999834626803,1.3518511527981687e-08,-0.05081333093088107,-0.4651653187553063,0.3734581941420374,-1.245561955934457,13,Decreasing,0,30.64884903417798
2015-11-30,17.190000534057617,-0.10429563882699988,2,Neutral,1,4.328755933233664e-09,0.9999999956702347,1.0094456414836378e-12,-0.05463349578060384,-0.4904315552723698,0.3622074231032483,-1.3540074664139912,14,Decreasing,0,30.83916600343504
2015-12-31,14.89840030670166,-0.13331007307508413,1,Neutral,1,3.8532623964997154e-13,0.9999999999996139,8.320886432715044e-16,-0.0598786009335692,-0.523341591498045,0.3560550587729892,-1.4698333266252315,15,Decreasing,0,30.376125500578954
2016-01-29,13.699999809265137,-0.08043819958961995,1,Neutral,1,2.7778440677362085e-07,0.9999997222154922,1.0106842293722534e-13,-0.06116357584957237,-0.5311011500658975,0.3444423716317739,-1.5419158437152767,16,Decreasing,0,30.42876439906745
2016-02-29,13.29520034790039,-0.029547406350398986,2,Neutral,1,3.915750551059805e-05,0.999960842265443,2.2904634615945697e-10,-0.0593038011731504,-0.5198326018125728,0.33456105658185,-1.5537749884090182,17,Decreasing,0,30.198978900525354
2016-03-31,14.368499755859375,0.08072833653300182,2,Neutral,1,0.07977121013236393,0.9202287889202907,9.473453836964108e-10,-0.004282289248022197,-0.050194273869521355,0.36228440714499244,-0.13854936309591911,10,Decreasing,0,28.679538993886226
2016-04-29,16.440000534057617,0.14416959413967345,2,Neutral,1,0.018649452852906402,0.9813505471470936,1.5886390951715283e-255,0.1154657059314958,2.710860885474586,0.17570743916130616,15.428264724670603,4,Increasing,0,29.669871410989686
2016-05-31,17.5,0.06447685106496537,2,Bull,2,4.324853497188516e-06,0.004886320643610864,0.995109354502892,0.09979718625752079,2.131491598578289,0.19431854830400075,10.969058883888362,5,Increasing,1,25.84095251659543
2016-06-30,17.09670066833496,-0.023045676095145073,2,Bull,2,9.062807133150986e-08,1.8815304282765628e-06,0.9999980278415004,-0.0161389995545447,-0.1773692310823265,0.34083454037456923,-0.5203968790469471,18,Decreasing,0,27.231796676824455
2016-07-29,14.406900405883789,-0.15732861647586716,0,Neutral,1,0.0,0.9999976593486882,2.340651311800423e-06,-0.11295732589948938,-0.7626800971087572,0.1837096378312467,-4.151551906108188,13,Decreasing,0,31.322081636481027
2016-08-31,15.122400283813477,0.049663692936856574,2,Bull,2,1.5047235119435305e-15,0.0019400225339967214,0.9980599774660018,0.07917865390274154,1.49528500692682,0.18126333448177773,8.249241421061576,8,Increasing,1,26.977341637131012
2016-09-30,16.023700714111328,0.05960035532603736,2,Bull,2,4.189362291786594e-08,0.007401639469476449,0.9925983186369006,0.0466330525465265,0.7279586557399429,0.215874225755438,3.3721425204537425,13,Increasing,1,24.995032284390245
2016-10-31,15.390000343322754,-0.03954769139132164,2,Bull,2,3.99037778617199e-16,0.3712097846713757,0.6287902153286239,0.02889146124256258,0.40745577187423065,0.2646078545962667,1.5398476076831447,15,Increasing,1,25.560747114717852
2016-11-30,16.09000015258789,0.04548406716370512,2,Bull,2,0.0,0.0002686355895087465,0.9997313644104913,0.024364398439978174,0.3349153131503384,0.30351157246196303,1.1034680174915275,14,Increasing,1,27.629982204283497
