asset,date,open,high,low,close,volume,return_1d,log_return,volatility_20d_ann,ma_gap_20_60,drawdown_126d,hmm_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,smooth_prob_bear_5,smooth_prob_neutral_5,smooth_prob_bull_5,state_mean_daily_return,state_ann_return,state_ann_vol,state_sharpe,state_count,model_loglik,target_label_plus_1_steps,target_code_plus_1_steps
SPY,2012-06-29,106.3194438,107.160883,106.0442157,107.0271988,212250900,0.02492684166,0.02462123605,0.1858730975,-0.0137757883,-0.03549665882,1,Bear,0,0.9991459082,0.0008540908798,9.677777699e-10,0.9991459082,0.0008540908798,9.677777699e-10,6.04227893e-05,0.01534305733,0.150859613,0.1017042071,157,-1621.642198,Bear,0
SPY,2012-07-09,106.4609767,106.610392,105.9262278,106.4137955,103780500,-0.001254887617,-0.001255675648,0.1763906692,-0.001715490072,-0.04102450182,1,Bear,0,0.9999637624,3.597304114e-05,2.645693965e-07,0.9995548353,0.0004450319605,1.327685871e-07,2.307781873e-05,0.005832553811,0.1493704931,0.03904756348,162,-1623.323716,Bear,0
SPY,2012-07-16,106.5081615,106.8148516,106.0835061,106.5002899,97525200,-0.002357528945,-0.002360312292,0.1707362388,0.004268011698,-0.0402450347,1,Bear,0,0.9999723239,2.508187971e-05,2.594250118e-06,0.9996939981,0.0003050486002,9.532624306e-07,2.725202885e-05,0.006891146701,0.1490653109,0.04622904322,167,-1619.102422,Bear,0
SPY,2012-07-23,105.7453773,107.2473782,105.2499501,106.232933,145210900,-0.01011238974,-0.01016386729,0.1552854223,0.009145869281,-0.04265439045,1,Bear,0,0.9999608277,3.049149714e-05,8.680840407e-06,0.9997607055,0.0002364093245,2.885156925e-06,1.184619872e-05,0.002989702349,0.148347461,0.02015337728,172,-1616.725058,Neutral,1
SPY,2012-07-30,108.9302328,109.5750634,108.7336363,109.0560455,106782000,0,0,0.1411531525,0.0170058582,-0.01721318058,1,Neutral,1,6.428873892e-06,0.9489651608,0.05102841037,0.7998098502,0.1899821596,0.0102079902,0.0002842460818,0.07425780868,0.1513690602,0.4905745506,178,-1606.612877,Neutral,1
SPY,2012-08-06,109.8739239,110.2277954,109.7480992,109.7952805,86326200,0.001937652577,0.00193577775,0.1542086104,0.01895598111,-0.01055137346,1,Neutral,1,4.84411594e-06,0.9528429852,0.0471521707,0.5999816374,0.3803799385,0.01963842415,0.0002056354803,0.05318630047,0.1501081734,0.3543198165,180,-1601.265783,Bull,2
SPY,2012-08-13,110.565916,110.754641,110.1255296,110.6996002,79426900,-0.0004972157845,-0.0004973394372,0.1369698921,0.02497310774,-0.002401861536,2,Bull,2,4.748483481e-11,0.0003402260878,0.9996597739,0.3999888849,0.3804407891,0.219570326,0.001191547598,0.3502233115,0.1103768971,3.172976599,208,-1586.04584,Bull,2
SPY,2012-08-20,111.6511301,111.8398672,111.3444399,111.8162766,78255700,7.048812858e-05,7.048564441e-05,0.1218435449,0.0275055069,0,2,Bull,2,2.349820098e-12,4.638543698e-05,0.9999536146,0.1999944201,0.3804450498,0.4195605301,0.001210698631,0.3567553201,0.1092866357,3.264400242,213,-1562.88816,Bull,2
SPY,2012-08-27,111.5803624,111.7297777,111.1478475,111.3051224,68785900,0.0002119170755,0.0002118946242,0.09406008746,0.03019437243,-0.00457137539,2,Bull,2,1.435513382e-14,3.523009579e-06,0.999996477,2.254607936e-06,0.3804396561,0.6195580893,0.001061204071,0.3065935747,0.1000956645,3.063005538,202,-1536.652363,Bull,2
SPY,2012-09-04,110.9119275,111.2422204,110.1963251,110.904068,120226200,-0.0009213170497,-0.0009217417231,0.06014954681,0.0287425599,-0.008158101712,2,Bull,2,2.03896761e-16,6.523673444e-08,0.9999999348,9.688331579e-07,0.190646637,0.8093523942,0.001018132934,0.2924885897,0.09943060792,2.941635336,207,-1514.179628,Bull,2
SPY,2012-09-11,112.9250988,113.5306077,112.8936366,113.1688766,88760000,0.002787174158,0.002783297191,0.0951903634,0.02679910137,-0.0029101478,2,Bull,2,5.383862408e-12,9.939675717e-05,0.9999006032,1.104661527e-11,9.791930566e-05,0.9999020807,0.001501721702,0.4599962524,0.09016625145,5.101645516,136,-1468.943577,Bull,2
SPY,2012-09-18,115.1977352,115.4493726,115.0089982,115.2999573,98326600,-0.0008173906455,-0.0008177248914,0.1077203789,0.02781413938,-0.00421085175,2,Bull,2,9.196278045e-12,0.0002335189324,0.9997664811,3.388903916e-12,7.657787457e-05,0.9999234221,0.001580780294,0.4893750972,0.09080903286,5.389057474,141,-1442.439931,Bull,2
SPY,2012-09-25,115.3937284,115.6150911,113.8916105,113.9232407,133165200,-0.0106413316,-0.01069835547,0.1091937929,0.02831563017,-0.01610087753,2,Bull,2,7.01550646e-09,0.1371659673,0.8628340257,1.406020232e-09,0.02750049424,0.9724995044,0.001444368896,0.4390468171,0.090821933,4.834149667,146,-1423.391129,Bull,2
SPY,2012-10-02,114.5715079,114.7533389,113.7097736,114.2394638,113422200,0.00103923974,0.001038700105,0.1124864182,0.02977538572,-0.01336981341,2,Bull,2,5.358195497e-08,0.01561828622,0.9843816602,1.212240836e-08,0.03062344688,0.969376541,0.001414899138,0.4283994943,0.09071037933,4.722717482,151,-1424.051703,Bull,2
SPY,2012-10-09,115.0537523,115.1486186,113.9627419,114.0022736,148872900,-0.009887077807,-0.009936279537,0.09727966946,0.02796201127,-0.01541830917,2,Bull,2,3.142665858e-10,0.008796780451,0.9912032192,1.218526163e-08,0.03238278992,0.9676171979,0.00136162471,0.409351158,0.09069481497,4.51350122,157,-1408.431487,Bull,2
SPY,2012-10-16,114.4449831,115.1407011,114.3659319,115.0616379,108815500,0.01013310653,0.01008211082,0.09404988234,0.02033087692,-0.006269099428,2,Bull,2,1.86961863e-07,0.02405671897,0.9759430941,4.957655747e-08,0.03717425437,0.9628256961,0.001376695396,0.4147137866,0.09106804619,4.553889141,162,-1417.099442,Bear,0
SPY,2012-10-23,112.1523024,112.3104169,111.3380015,111.8044434,192056300,-0.01387598567,-0.01397315711,0.1172889388,0.01285417539,-0.03439989004,1,Bear,0,0.9999783388,2.16612091e-05,2.8785402e-11,0.1999957173,0.03713188282,0.7628723999,-2.412572529e-05,-0.006061238897,0.1391810582,-0.04354930892,216,-1421.02023,Neutral,1
SPY,2012-11-01,111.9862632,113.0614583,111.8834954,112.9191589,100995600,0.01047034381,0.0104159094,0.1165409194,0.005999349091,-0.02477263865,1,Neutral,1,8.945733527e-06,0.9999910425,1.181194345e-08,0.1999975051,0.2096968979,0.5903055971,2.131083539e-05,0.005384776591,0.1381109015,0.03898878751,221,-1438.205536,Bear,0
SPY,2012-11-08,110.4446284,111.0059486,109.0452908,109.1322556,181517300,-0.01202408768,-0.01209696178,0.1444840655,-0.002622228844,-0.05747826475,1,Bear,0,0.9997080244,0.0002919755962,8.073717976e-30,0.3999390992,0.2066316357,0.393429265,-0.0001344709803,-0.03331896407,0.1401690617,-0.2377055512,225,-1449.825584,Bear,0
SPY,2012-11-15,107.5036426,107.9068483,106.8711728,107.28228,178128400,-0.001692161137,-0.001693594459,0.1364014125,-0.01221088748,-0.07345559603,1,Bear,0,0.9981433611,0.001856638914,6.834525762e-47,0.5995677714,0.2052436074,0.1951886212,-0.0002369765805,-0.05796994396,0.1415654596,-0.4094921467,230,-1454.874807,Bear,0
SPY,2012-11-23,110.7845934,111.7886269,110.7134317,111.7491074,65409200,0.01362533303,0.01353334284,0.1525862832,-0.02009149577,-0.0348777999,1,Bear,0,0.9999929683,7.031696168e-06,1.909742708e-12,0.7995663277,0.20043367,2.368527719e-09,-9.811713301e-05,-0.02442234574,0.1558671564,-0.1566869269,199,-1445.666678,Bear,0
SPY,2012-11-30,112.3736598,112.5950224,111.9941827,112.3815613,136568300,0.0002111093207,0.0002110870403,0.152166298,-0.02101874162,-0.02941560578,1,Bear,0,0.9999976024,2.397586122e-06,3.695926485e-11,0.7995701804,0.2004298172,2.370162492e-09,-0.000104448742,-0.02597770258,0.1523983241,-0.1704592405,198,-1435.576046,Bear,0
SPY,2012-12-07,112.6819634,112.8084598,112.0020605,112.5870972,108726400,0.003028589784,0.003024012845,0.1111746097,-0.01895111927,-0.02764049318,1,Bear,0,0.999998315,1.675402747e-06,9.593574569e-09,0.9995680542,0.0004319438391,1.926488715e-09,-9.287492708e-05,-0.02313272101,0.1507096322,-0.1534919877,203,-1426.801119,Bear,0
SPY,2012-12-14,112.5159629,112.7215105,112.1681039,112.3420334,137701700,-0.0037157439,-0.003722664425,0.1011465153,-0.007298935456,-0.0297569888,1,Bear,0,0.9999972074,1.291093763e-06,1.501519364e-06,0.9996258908,0.0003738069386,3.022303615e-07,-9.137255683e-05,-0.02276281167,0.1489350779,-0.1528371422,209,-1428.337942,Bear,0
SPY,2012-12-21,113.1945518,114.7232381,113.0114311,113.6881866,245883800,-0.009077102706,-0.009118550611,0.09502808805,0.002763703377,-0.01813092371,1,Bear,0,0.9908734031,1.010024759e-06,0.009125586882,0.9981718992,2.681160712e-06,0.001825419607,-3.37740568e-05,-0.008474945759,0.1485551819,-0.05704914261,215,-1445.694778,Bear,0
SPY,2012-12-31,111.1960863,113.5050363,111.1005351,113.3856125,243935200,0.01699635935,0.01685353726,0.1155260008,0.005763706629,-0.02074410823,1,Bear,0,0.9998272849,8.718260498e-06,0.0001639968064,0.9981387626,3.018473578e-06,0.001858218968,-0.0001222722328,-0.03034273275,0.1444337539,-0.2100806212,214,-1470.420124,Bear,0
SPY,2013-01-08,116.0130518,116.1722876,115.4318233,115.8856583,121265100,-0.00287720356,-0.002881350666,0.1456288906,0.01401360467,-0.005602052932,1,Bear,0,0.9864596954,2.716282335e-06,0.01353758834,0.9954311812,3.082212821e-06,0.004565736628,-4.626193196e-05,-0.0115903156,0.1457120278,-0.07954261409,218,-1482.77584,Bull,2
SPY,2013-01-15,116.4748305,117.2073373,116.4031762,117.095871,93172600,0.0006804866461,0.00068025522,0.1423002268,0.02034001114,-6.814760223e-05,2,Bull,2,0.02184893442,7.756239663e-08,0.978150988,0.799801305,2.762644751e-06,0.2001959323,0.0008868507874,0.2504286324,0.1022395329,2.44943052,179,-1495.049189,Bull,2
SPY,2013-01-23,118.7360535,119.0306404,118.5210783,118.9271317,104596100,0.00160933282,0.001608039231,0.1239546995,0.02568320965,0,2,Bull,2,0.0001512011184,1.290797e-11,0.9998487989,0.5998321038,2.504428579e-06,0.4001653918,0.001019213417,0.2928405586,0.1009593554,2.900578728,181,-1494.197078,Bull,2
SPY,2013-01-30,119.9382817,120.1771416,119.3729805,119.4844589,137447700,-0.00391594641,-0.003923633804,0.1000759779,0.0345605558,-0.00391594641,2,Bull,2,1.104205443e-05,2.296277602e-13,0.9999889579,0.4016596316,2.302423674e-06,0.598338066,0.0009632636061,0.2747402454,0.1011341791,2.71659144,181,-1490.947272,Bull,2
SPY,2013-02-06,119.8427253,120.4318991,119.7551438,120.3522873,138762800,0.0007278913778,0.0007276265934,0.07981994427,0.03608668929,-0.0005291080383,2,Bull,2,2.669831246e-06,4.9122972e-14,0.9999973302,0.2016947086,5.587715837e-07,0.7983047327,0.0009697691355,0.2768317601,0.0991105401,2.793161654,181,-1493.71789,Bull,2
SPY,2013-02-13,121.2838313,121.5067639,120.7981541,121.1405106,82322600,0.0008546717623,0.0008543067384,0.0781233392,0.03533630581,0,2,Bull,2,2.47754755e-06,2.428091005e-14,0.9999975225,0.004403264995,1.551512153e-08,0.9955967195,0.0009411571081,0.2676586182,0.09892129167,2.705773587,181,-1496.17485,Bull,2
SPY,2013-02-21,120.1930881,120.5593294,119.3809693,119.7631378,183257000,-0.006078665545,-0.006097215845,0.09565461299,0.03327489203,-0.01846616897,2,Bull,2,0.0001063389541,9.234754132e-12,0.999893661,5.474590114e-05,4.489151156e-12,0.9999452541,0.0007931757041,0.2212565374,0.1000394526,2.211692804,182,-1501.067133,Bull,2
