date,close,monthly_return,raw_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,state_mean_monthly_return,state_ann_return,state_ann_vol,state_sharpe,state_count,paper_phase,paper_selected,model_loglik
2006-01-31,47.46690368652344,-0.013384508001882955,1,Neutral,1,5.547815417467193e-61,1.0,1.140903815435747e-20,0.008025962475764961,0.1006788313816267,0.08538137132949053,1.1791662491938972,21,Increasing,0,59.96573183624924
2006-02-28,47.99278259277344,0.011078854220679002,0,Neutral,1,0.009595113736934877,0.84742054785412,0.14298433840894503,0.00514721456819119,0.06354551838441269,0.023993713440885654,2.648423660679808,6,Increasing,0,59.224224593915906
2006-03-31,45.799556732177734,-0.04569907686340213,1,Neutral,1,2.5611138543817447e-14,0.9999729481463002,2.705185367407369e-05,0.002462214114954959,0.029949996512654842,0.09920338099265331,0.3019049977225357,17,Increasing,0,57.54836888230307
2006-04-28,44.53896713256836,-0.02752405677157377,1,Neutral,1,6.940102051188064e-22,0.9999988680287185,1.1319712814415657e-06,0.0007963101768144742,0.009597684662909112,0.09930690371861176,0.09664670132203856,18,Increasing,0,57.14670942299638
2006-05-31,44.45394515991211,-0.001908934538225493,0,Bear,0,0.9997659657163026,0.00023403428342828867,2.689995479336592e-13,-0.00893623494292303,-0.10211818710064524,0.09403599031586854,-1.0859479094932531,11,Decreasing,0,57.34615678323228
2006-06-30,44.97777557373047,0.011783665362748108,1,Bear,0,0.9964768078915685,3.3681192098038777e-09,0.003523188740312341,-0.007209576584117102,-0.08316549197439771,0.0920227895204165,-0.903748869250984,12,Decreasing,0,55.32017129681678
2006-07-31,45.95079803466797,0.021633405576993336,0,Bear,0,0.9999925199791532,7.480020846745142e-06,1.0366405905584371e-17,0.002885877533461428,0.03518551955007254,0.0917172732763143,0.3836302399011582,22,Increasing,0,58.69444976259399
2006-08-31,47.35508346557617,0.030560632044926095,2,Bull,2,6.076063753467747e-07,2.2384723993931793e-06,0.9999971539212253,0.028837224051563904,0.4065657150835633,0.0237364658201525,17.12831717089007,10,Increasing,1,64.02183861372733
2006-09-29,48.26191711425781,0.019149657910345397,2,Bull,2,5.222115538460574e-05,1.4119485857730758e-10,0.9999477787034206,0.025414186000723964,0.3514247123956926,0.03114921980563601,11.28197478423223,13,Increasing,1,63.42910427252856
2006-10-31,48.6705322265625,0.008466615848212289,1,Neutral,1,6.443408699762093e-31,0.9957929278640806,0.0042070721359193965,-0.010196296123813595,-0.11572184699410848,0.07130929696095946,-1.6228157046263418,14,Decreasing,0,61.492226539068334
2006-11-30,49.793914794921875,0.0230813701220689,2,Bull,2,2.0896178259804254e-05,0.006710067512681802,0.9932690363090584,0.028450516581461673,0.40023460950331735,0.022521741062962362,17.771033260013564,11,Increasing,1,63.09654467469773
2006-12-29,48.45163345336914,-0.026956734514266834,0,Bear,0,0.9999980639400754,1.9360598887989873e-06,3.572471619377078e-14,-0.027578981468678182,-0.28508888591821246,0.03781582371674914,-7.5388781176262665,8,Decreasing,0,62.60267074160969
2007-01-31,47.969486236572266,-0.009951103449606147,0,Neutral,1,0.06332521407197171,0.9327132389507388,0.003961546977289603,-0.010707133681783465,-0.12118283838768995,0.02840726310661687,-4.26591037414875,5,Decreasing,0,62.0398211529552
2007-02-28,49.59518051147461,0.033890174826656905,2,Bull,2,2.8978967015879786e-18,5.618418744345766e-08,0.9999999438158126,0.024300149487969477,0.33391093623513823,0.03393301848756498,9.84029570954622,13,Increasing,1,64.497343008482
2007-03-30,48.75187683105469,-0.017003742535523392,0,Bear,0,0.9999999999842042,4.1521951353760044e-16,1.5795464615492752e-11,-0.023477496062763902,-0.24805327434947866,0.045929788249201665,-5.400705812176049,10,Decreasing,0,63.50854235616753
2007-04-30,49.19308090209961,0.009049991502355414,1,Neutral,1,0.18482173742110375,0.8151781813156765,8.126321974835066e-08,0.011485893237345132,0.14687995626384986,0.0182831401568141,8.03362852355031,6,Increasing,0,62.380237063811094
2007-05-31,48.054840087890625,-0.023138229875746652,1,Neutral,1,1.0399277526870528e-11,0.9999999999896008,1.7627162326948486e-22,0.0008719491238044664,0.010513715106840849,0.07934388990549422,0.13250818833515268,20,Increasing,0,63.04426840993016
2007-06-29,47.56782913208008,-0.01013448291410024,0,Neutral,1,4.316384702025979e-21,0.9999999785506053,2.1449394678766162e-08,0.0014856872061429828,0.017974649926092212,0.0776201050254709,0.23157208973363103,20,Increasing,0,60.61299092138589
2007-07-31,49.14664077758789,0.033190744129272254,2,Bull,2,4.075420465541115e-09,0.027199965801612127,0.9728000301229673,0.030884339290875307,0.44052004172821957,0.01482286677467529,29.718950350470895,6,Increasing,1,65.10441969717749
2007-08-31,50.02521514892578,0.017876590494025013,1,Bull,2,6.876092523596081e-08,0.1854735608913947,0.8145263703476799,0.019646837301030045,0.26298245636157125,0.02954426129383594,8.90130417362777,9,Increasing,1,62.11333105952851
