date,close,monthly_return
2011-05-31,46.11000061035156,-0.09659091333746395
2011-06-30,42.43000030517578,-0.07980915758976659
2011-07-29,42.4900016784668,0.001414126157422979
2011-08-31,39.11000061035156,-0.07954815096719947
2011-09-30,34.53850173950195,-0.11688823317582953
2011-10-31,40.290000915527344,0.1665242812037604
2011-11-30,43.721099853515625,0.08516006105787821
2011-12-30,43.16170120239258,-0.012794706743363582
2012-01-31,43.199798583984375,0.0008826663576848581
2012-02-29,46.560001373291016,0.07778283462998314
2012-03-30,45.099998474121094,-0.031357449658655834
2012-04-30,45.349998474121094,0.005543237438099924
2012-05-31,37.470001220703125,-0.17375959247087247
2012-06-29,36.849998474121094,-0.016546643351574408
2012-07-31,37.720001220703125,0.023609302106023522
2012-08-31,41.2401008605957,0.09332183260801497
2012-09-28,39.459999084472656,-0.043164340992771555
2012-10-31,36.84000015258789,-0.06639632520710637
2012-11-30,37.83219909667969,0.026932653093979297
2012-12-31,38.47600173950195,0.017017320118691392
2013-01-31,40.72600173950195,0.05847800962359351
2013-02-28,38.21269989013672,-0.06171246235859862
2013-03-28,39.957401275634766,0.04565763190023597
2013-04-30,38.20199966430664,-0.04393182627716419
2013-05-31,38.2599983215332,0.0015182099821007267
2013-06-28,39.5,0.03240987278791674
2013-07-31,42.23699951171875,0.06929112687895578
2013-08-30,43.91999816894531,0.03984654868202964
2013-09-30,42.65999984741211,-0.0286884875697494
2013-10-31,41.141998291015625,-0.0355837215617939
2013-11-29,39.759300231933594,-0.03360794605312056
2013-12-31,42.047298431396484,0.05754623914696655
2014-01-31,41.2400016784668,-0.01919972942487269
2014-02-28,43.38130187988281,0.05192289316840837
2014-03-31,43.387298583984375,0.00013823246056943184
2014-04-30,43.09270095825195,-0.006789950869196759
2014-05-30,44.67300033569336,0.036672089293553256
2014-06-30,46.365501403808594,0.03788644271477204
2014-07-31,43.499698638916016,-0.06180894583525787
2014-08-29,42.62289810180664,-0.020156473827268484
2014-09-30,40.79999923706055,-0.04276806472408379
2014-10-31,36.41999816894531,-0.10735296936321204
2014-11-28,31.0,-0.14881928724441418
2014-12-31,24.950000762939453,-0.1951612657116305
2015-01-30,22.854000091552734,-0.08400804037249177
2015-02-27,24.344999313354492,0.06524018621811667
2015-03-31,22.25480079650879,-0.08585740709793821
2015-04-30,26.076499938964844,0.17172470683519125
2015-05-29,25.571300506591797,-0.01937374392865321
2015-06-30,25.191999435424805,-0.014833077068927891
2015-07-31,20.040000915527344,-0.20450931388370697
2015-08-31,20.61989974975586,0.028937066254283383
2015-09-30,18.65999984741211,-0.09504895397791424
2015-10-30,19.191600799560547,0.028488797239843766
2015-11-30,17.190000534057617,-0.10429563882699988
2015-12-31,14.89840030670166,-0.13331007307508413
2016-01-29,13.699999809265137,-0.08043819958961995
2016-02-29,13.29520034790039,-0.029547406350398986
2016-03-31,14.368499755859375,0.08072833653300182
2016-04-29,16.440000534057617,0.14416959413967345
2016-05-31,17.5,0.06447685106496537
2016-06-30,17.09670066833496,-0.023045676095145073
2016-07-29,14.406900405883789,-0.15732861647586716
2016-08-31,15.122400283813477,0.049663692936856574
2016-09-30,16.023700714111328,0.05960035532603736
2016-10-31,15.390000343322754,-0.03954769139132164
2016-11-30,16.09000015258789,0.04548406716370512
2016-12-30,17.362199783325195,0.0790677202406791
2017-01-31,16.549999237060547,-0.04677981801849174
2017-02-28,16.670000076293945,0.007250806330231008
2017-03-31,15.590900421142578,-0.06473303240627648
2017-04-28,14.970000267028809,-0.03982452182631968
2017-05-31,14.699999809265137,-0.01803610240130349
2017-06-30,13.739999771118164,-0.0653061258913692
2017-07-31,14.965900421142578,0.08922130061466871
2017-08-31,14.095000267028809,-0.05819229913379853
2017-09-29,15.494000434875488,0.09925506501189907
2017-10-31,16.152599334716797,0.04250670461831585
2017-11-30,17.030000686645508,0.054319514385707146
2017-12-29,17.709999084472656,0.03992944042335744
2018-01-31,18.940000534057617,0.06945237228517831
2018-02-28,18.809999465942383,-0.006863836560166314
2018-03-29,19.424999237060547,0.032695363560838464
2018-04-30,20.75,0.06821111016630121
2018-05-31,20.635000228881836,-0.005542157644248924
2018-06-29,21.6200008392334,0.047734460839641946
2018-07-31,21.110000610351562,-0.023589278866092744
2018-08-31,21.479999542236328,0.017527187171341607
2018-09-28,22.295400619506836,0.03796094481599854
2018-10-31,20.920000076293945,-0.06168987795669012
2018-11-30,15.760000228881836,-0.24665391150066485
2018-12-31,14.479999542236328,-0.08121831650102218
2019-01-31,16.854799270629883,0.16400551128931773
2019-02-28,17.825000762939453,0.05756232849359311
2019-03-29,18.314199447631836,0.027444525315785118
2019-04-30,19.31999969482422,0.054919148940602014
